"id" "setsize" "ss_lin" "ss_fac" "rsizeCorrect" "rsizeList" "rsizeNPL" "correct" "intrusion" "new"
"398" "7" 6 1 "6" 1 4 4 20 2 1
"399" "8" 6 1 "6" 1 4 4 16 7 0
"400" "9" 6 1 "6" 1 4 4 19 3 1
"401" "1" 8 3 "8" 1 4 4 16 6 1
"402" "10" 8 3 "8" 1 4 4 18 5 0
"403" "11" 8 3 "8" 1 4 4 16 6 1
"404" "12" 8 3 "8" 1 4 4 21 2 0
"405" "13" 8 3 "8" 1 4 4 15 7 1
"406" "14" 8 3 "8" 1 4 4 17 6 0
"407" "15" 8 3 "8" 1 4 4 22 1 0
"408" "16" 8 3 "8" 1 4 4 19 4 0
"409" "17" 8 3 "8" 1 4 4 17 6 0
"410" "18" 8 3 "8" 1 4 4 15 7 1
"411" "19" 8 3 "8" 1 4 4 15 7 1
"412" "2" 8 3 "8" 1 4 4 19 3 1
"413" "20" 8 3 "8" 1 4 4 19 4 0
"414" "21" 8 3 "8" 1 4 4 19 2 2
"415" "3" 8 3 "8" 1 4 4 16 7 0
"416" "5" 8 3 "8" 1 4 4 17 5 1
"417" "6" 8 3 "8" 1 4 4 14 6 3
"418" "7" 8 3 "8" 1 4 4 15 8 0
"419" "8" 8 3 "8" 1 4 4 15 6 2
"420" "9" 8 3 "8" 1 4 4 14 3 6
"421" "1" 6 1 "6" 1 6 4 20 3 0
"422" "10" 6 1 "6" 1 6 4 23 0 0
"423" "11" 6 1 "6" 1 6 4 19 4 0
"424" "12" 6 1 "6" 1 6 4 21 2 0
"425" "13" 6 1 "6" 1 6 4 20 3 0
"426" "14" 6 1 "6" 1 6 4 17 6 0
"427" "15" 6 1 "6" 1 6 4 23 0 0
"428" "16" 6 1 "6" 1 6 4 20 3 0
"429" "17" 6 1 "6" 1 6 4 18 5 0
"430" "18" 6 1 "6" 1 6 4 20 3 0
"431" "19" 6 1 "6" 1 6 4 14 8 1
"432" "2" 6 1 "6" 1 6 4 21 2 0
"433" "20" 6 1 "6" 1 6 4 21 1 1
"434" "21" 6 1 "6" 1 6 4 23 0 0
"435" "3" 6 1 "6" 1 6 4 21 2 0
"436" "5" 6 1 "6" 1 6 4 22 1 0
"437" "6" 6 1 "6" 1 6 4 22 1 0
"438" "7" 6 1 "6" 1 6 4 20 3 0
"439" "8" 6 1 "6" 1 6 4 16 6 1
"440" "9" 6 1 "6" 1 6 4 20 3 0
"441" "1" 8 3 "8" 1 6 4 17 6 0
"442" "10" 8 3 "8" 1 6 4 17 6 0
"443" "11" 8 3 "8" 1 6 4 18 4 1
"444" "12" 8 3 "8" 1 6 4 18 5 0
"445" "13" 8 3 "8" 1 6 4 15 8 0
"446" "14" 8 3 "8" 1 6 4 13 10 0
"447" "15" 8 3 "8" 1 6 4 19 3 1
"448" "16" 8 3 "8" 1 6 4 15 7 1
"449" "17" 8 3 "8" 1 6 4 14 9 0
"450" "18" 8 3 "8" 1 6 4 16 6 1
"451" "19" 8 3 "8" 1 6 4 15 6 2
"452" "2" 8 3 "8" 1 6 4 17 6 0
"453" "20" 8 3 "8" 1 6 4 15 6 2
"454" "21" 8 3 "8" 1 6 4 21 2 0
"455" "3" 8 3 "8" 1 6 4 19 4 0
"456" "5" 8 3 "8" 1 6 4 18 5 0
"457" "6" 8 3 "8" 1 6 4 18 5 0
"458" "7" 8 3 "8" 1 6 4 18 5 0
"459" "8" 8 3 "8" 1 6 4 10 12 1
"460" "9" 8 3 "8" 1 6 4 15 8 0
"461" "1" 8 3 "8" 1 8 4 13 10 0
"462" "10" 8 3 "8" 1 8 4 18 5 0
"463" "11" 8 3 "8" 1 8 4 17 5 1
"464" "12" 8 3 "8" 1 8 4 17 5 1
"465" "13" 8 3 "8" 1 8 4 17 6 0
"466" "14" 8 3 "8" 1 8 4 13 10 0
"467" "15" 8 3 "8" 1 8 4 18 5 0
"468" "16" 8 3 "8" 1 8 4 18 5 0
"469" "17" 8 3 "8" 1 8 4 12 11 0
"470" "18" 8 3 "8" 1 8 4 10 12 1
"471" "19" 8 3 "8" 1 8 4 15 7 1
"472" "2" 8 3 "8" 1 8 4 21 2 0
"473" "20" 8 3 "8" 1 8 4 19 4 0
"474" "21" 8 3 "8" 1 8 4 21 1 1
"475" "3" 8 3 "8" 1 8 4 16 7 0
"476" "5" 8 3 "8" 1 8 4 18 5 0
"477" "6" 8 3 "8" 1 8 4 14 9 0
"478" "7" 8 3 "8" 1 8 4 15 8 0
"479" "8" 8 3 "8" 1 8 4 13 9 1
"480" "9" 8 3 "8" 1 8 4 14 9 0
