"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"339" 8 "6" 1 1 2 2 21 1 1 23
"340" 9 "6" 1 1 2 2 16 6 1 23
"341" 1 "8" 3 1 2 2 21 1 1 23
"342" 10 "8" 3 1 2 2 18 3 2 23
"343" 11 "8" 3 1 2 2 21 1 1 23
"344" 12 "8" 3 1 2 2 12 3 8 23
"345" 13 "8" 3 1 2 2 20 1 2 23
"346" 14 "8" 3 1 2 2 15 6 2 23
"347" 15 "8" 3 1 2 2 17 2 4 23
"348" 16 "8" 3 1 2 2 15 3 5 23
"349" 17 "8" 3 1 2 2 22 0 1 23
"350" 18 "8" 3 1 2 2 19 2 2 23
"351" 19 "8" 3 1 2 2 20 1 2 23
"352" 2 "8" 3 1 2 2 22 0 1 23
"353" 20 "8" 3 1 2 2 20 2 1 23
"354" 3 "8" 3 1 2 2 14 4 5 23
"355" 4 "8" 3 1 2 2 16 4 3 23
"356" 5 "8" 3 1 2 2 16 5 2 23
"357" 6 "8" 3 1 2 2 10 8 5 23
"358" 7 "8" 3 1 2 2 15 6 2 23
"359" 8 "8" 3 1 2 2 18 3 2 23
"360" 9 "8" 3 1 2 2 16 3 4 23
"361" 1 "4" -1 1 4 4 23 0 0 23
"362" 10 "4" -1 1 4 4 23 0 0 23
"363" 11 "4" -1 1 4 4 22 1 0 23
"364" 12 "4" -1 1 4 4 23 0 0 23
"365" 13 "4" -1 1 4 4 23 0 0 23
"366" 14 "4" -1 1 4 4 17 5 1 23
"367" 15 "4" -1 1 4 4 23 0 0 23
"368" 16 "4" -1 1 4 4 22 1 0 23
"369" 17 "4" -1 1 4 4 22 1 0 23
"370" 18 "4" -1 1 4 4 22 1 0 23
"371" 19 "4" -1 1 4 4 23 0 0 23
"372" 2 "4" -1 1 4 4 23 0 0 23
"373" 20 "4" -1 1 4 4 23 0 0 23
"374" 3 "4" -1 1 4 4 22 1 0 23
"375" 4 "4" -1 1 4 4 23 0 0 23
"376" 5 "4" -1 1 4 4 23 0 0 23
"377" 6 "4" -1 1 4 4 19 3 1 23
"378" 7 "4" -1 1 4 4 19 4 0 23
"379" 8 "4" -1 1 4 4 23 0 0 23
"380" 9 "4" -1 1 4 4 23 0 0 23
"381" 1 "6" 1 1 4 4 22 1 0 23
"382" 10 "6" 1 1 4 4 20 2 1 23
"383" 11 "6" 1 1 4 4 21 1 1 23
"384" 12 "6" 1 1 4 4 17 5 1 23
"385" 13 "6" 1 1 4 4 19 4 0 23
"386" 14 "6" 1 1 4 4 15 4 4 23
"387" 15 "6" 1 1 4 4 23 0 0 23
"388" 16 "6" 1 1 4 4 15 6 2 23
"389" 17 "6" 1 1 4 4 23 0 0 23
